Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1309576191,,,,1309576191,,189103239,,,0
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,416224330,,,,416224330,,65248786,,,0
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,755511874,,,,755511874,,115105908,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,144591000,,,,144591000,,18900078,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2261012483,,,,2261012483,,331923453,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,734799124,,,,734799124,,116381260,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,267134998,,,,267134998,,43257019,,,0
H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1307190460,,,,1307190460,,228661959,,,0
H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,357168289,,,,357168289,,70584382,,,0
H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,199530583,,,,199530583,,25214251,,,0
H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,266563037,,,,266563037,,53296257,,,0
H1,2004,2004,2004,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2971272425,,,,2971272425,,545996106,,,0
H1,2004,2004,2004,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,684968031,,,,684968031,,145360721,,,0
H1,2004,2004,2004,4,0,1,Import,360,Indonesia,IDN,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,115500000,,,,115500000,,17180625,,,0
H1,2004,2004,2004,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,108854805,,,,108854805,,23060991,,,0
H1,2005,2005,2005,4,0,1,Import,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,429377389,,,,429377389,,73501902,,,0
H1,2005,2005,2005,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2439822120,,,,2439822120,,445068907,,,0
H1,2005,2005,2005,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,889643741,,,,889643741,,165430314,,,0
H1,2005,2005,2005,4,0,1,Import,360,Indonesia,IDN,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,379398178,,,,379398178,,58338158,,,0
H1,2005,2005,2005,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,118518214,,,,118518214,,25299720,,,0
