Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,798724,,4514710,,,0
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,301813,,16410074,,,0
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,11030,,1005413,,,0
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,1731,,273897,,,0
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,25103,,656369,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,939088,,3570277,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,6715,,100044,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,4000,,187741,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,6904,,190799,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,14939,,164987,,,0
