Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,1881163,,14779516,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,47663,,1847451,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,248285,,3922146,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,130031,,1891131,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,84388,,5034448,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,2652157,,21307492,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,44102,,1551142,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,16163,,1117804,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,77915,,3473823,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,29886,,2035968,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,5249830,,34218753,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,70131,,2406161,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,20397,,1367282,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,58001,,2629607,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,26049,,1249082,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,2525206,,14740534,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,84762,,3205983,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,33573,,1671124,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,58784,,4202692,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,30482,,3388106,,,2
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,2344242,,18609841,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,214696,,9485337,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,56974,,3137777,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,29449,,474979,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,14996,,724264,,,0
