Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,0,X,360,Indonesia,IDN,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,12105,-1,N/A,,13763403,,115824265,,115824265,2
H4,2016,2016,2016,4,0,0,X,360,Indonesia,IDN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,8700,-1,N/A,,12231215,,82746221,,82746221,2
H4,2016,2016,2016,4,0,0,X,360,Indonesia,IDN,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,57866,-1,N/A,,107471775,,1071192995,,1071192995,2
H4,2016,2016,2016,4,0,0,X,360,Indonesia,IDN,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,37516,-1,N/A,,50311120,,447869767,,447869767,2
H4,2016,2016,2016,4,0,0,X,360,Indonesia,IDN,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,2911,-1,N/A,,5598365,,45712387,,45712387,2
H5,2017,2017,2017,4,0,0,X,360,Indonesia,IDN,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,9990,-1,N/A,0,14609845,,134860026,,134860026.86,0
H5,2017,2017,2017,4,0,0,X,360,Indonesia,IDN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,8179,-1,N/A,0,15953545,,110259466,,110259466,0
H5,2017,2017,2017,4,0,0,X,360,Indonesia,IDN,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,50827,-1,N/A,0,126268188,,1202999963,,1202999963.96,0
H5,2017,2017,2017,4,0,0,X,360,Indonesia,IDN,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,30628,-1,N/A,0,52800175,,494133463,,494133463.78,0
H5,2017,2017,2017,4,0,0,X,360,Indonesia,IDN,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",5,u,11424,-1,N/A,0,26223735,,241473080,,241473080.8,0
