Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,9230175,,,,9230175,,18400525,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,1699549,,,,1699549,,4461352,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,7624426,,,,7624426,,5854629,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,2086476,,,,2086476,,3515933,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,2816222,,,,2816222,,5567540,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,10344780,,,,10344780,,21007591,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,3664252,,,,3664252,,8283862,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,12121312,,,,12121312,,8954478,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,6321342,,,,6321342,,12554673,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,3562853,,,,3562853,,6250174,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,10478769,,,,10478769,,21868935,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,4958661,,,,4958661,,14050037,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",8,Weight in kilograms,11249451,,,,11249451,,8387540,,,0
